"Name","Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","playerid"
"Jay Jackson","Brewers","1","0","4.45","28","0","0","0","0","2","0","30.1","132","22","15","15","6","18","1","2","0","0","47","7432"
"Hector Velazquez","Red Sox","0","1","4.46","26","0","0","0","0","1","1","34.1","150","37","23","17","4","15","0","2","1","0","33","19341"
"Jeff Brigham","Marlins","3","2","4.46","32","0","0","0","1","4","1","38.1","161","36","20","19","8","14","2","1","6","0","39","16631"
"Blaine Hardy","Tigers","1","1","4.47","39","0","0","0","0","7","0","44.1","182","38","24","22","10","13","0","0","3","0","29","6499"
"Kevin McCarthy","Royals","4","2","4.48","56","0","0","0","1","6","4","60.1","268","68","31","30","4","21","6","2","2","0","38","15240"
"Sam Freeman","Angels","0","0","4.50","1","0","0","0","0","0","0","2.0","11","3","1","1","1","2","0","0","0","0","0","6832"
"Alex Avila","Diamondbacks","0","0","4.50","2","0","0","0","0","0","0","2.0","8","2","1","1","0","1","0","0","0","0","1","7476"
"JC Ramirez","Angels","0","0","4.50","5","0","0","0","0","0","0","8.0","34","8","4","4","1","1","0","1","1","0","4","8302"
"Joel Payamps","Diamondbacks","0","0","4.50","2","0","0","0","0","0","0","4.0","17","4","2","2","0","3","0","0","0","0","3","14332"
"Adonis Rosa","Yankees","0","0","4.50","1","0","0","0","0","0","0","2.0","7","1","1","1","1","0","0","0","0","0","2","17942"
"Ty France","Padres","0","0","4.50","2","0","0","0","0","0","0","2.0","8","2","1","1","1","0","0","0","0","0","0","17982"
"Shane Bieber","Indians","0","0","4.50","1","0","0","0","0","0","0","2.0","8","2","1","1","0","0","0","1","0","0","2","19427"
"Michael Brosseau","Rays","0","0","4.50","3","0","0","0","0","0","0","4.0","18","5","2","2","1","0","0","1","0","0","0","19683"
"Anthony Kay","Blue Jays","1","0","4.50","1","0","0","0","0","0","0","4.0","18","4","2","2","0","1","0","0","1","0","3","20387"
"Manny Banuelos","White Sox","1","0","4.50","8","0","0","0","0","0","0","16.0","69","13","8","8","1","12","1","0","0","0","12","5365"
"Chase Anderson","Brewers","1","0","4.50","5","0","0","0","0","0","0","10.0","43","10","5","5","3","4","1","0","1","0","13","6895"
"Jairo Diaz","Rockies","6","4","4.53","56","0","0","0","5","7","3","57.2","245","56","34","29","7","19","0","2","4","0","63","12774"
"Derek Holland","- - -","1","0","4.53","43","0","0","0","0","2","1","47.2","208","44","28","24","9","21","1","2","1","0","40","4141"
"Greg Holland","Diamondbacks","1","2","4.54","40","0","0","0","17","0","5","35.2","152","25","18","18","5","24","2","0","6","0","41","7196"
"Wander Suero","Nationals","6","9","4.54","78","0","0","0","1","19","6","71.1","296","64","36","36","5","26","3","3","2","1","81","15855"
"Jose Alvarado","Rays","1","5","4.55","34","0","0","0","7","8","2","29.2","141","28","17","15","2","24","2","0","6","0","39","17780"
"Anthony Swarzak","- - -","3","4","4.56","59","0","0","0","4","17","3","53.1","234","52","30","27","12","27","3","0","2","0","52","7466"
"Joe Kelly","Dodgers","5","4","4.56","55","0","0","0","1","8","5","51.1","226","49","31","26","6","22","2","3","10","0","62","9761"
"Josh A. Smith","Red Sox","0","1","4.56","16","0","0","0","1","0","1","23.2","104","24","14","12","8","5","1","2","0","0","23","10946"
"Brandon Brennan","Mariners","3","6","4.56","44","0","0","0","0","8","2","47.1","196","34","25","24","6","24","4","0","6","0","47","13527"
"Wade LeBlanc","Mariners","4","3","4.57","18","0","0","0","0","0","0","84.2","354","86","44","43","16","22","1","1","0","0","62","5221"
