Name,playerId,Tm,IP,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,RHH_OPS,RHH_HR/9,RHH_SO/BB,RHH_ERA,RHH_WHIP
Scott Oberg,13911,COL,32.2,120,1.6531,19,2,1,9,6,2,9,1,0,30,0.172727272,0.233333333,0.263636363,0.214607343,0.496969696,0.559006211,3.333333333,1.6531,0.869565217
Branden Kline,14101,BAL,24.2,111,5.473,31,8,0,15,15,4,9,0,1,20,0.31,0.372727272,0.51,0.372235114,0.882727272,1.487603306,2.222222222,5.473,1.652892562
Josh Hader,14212,MIL,57.2,223,2.6532,32,5,1,19,17,10,18,2,3,104,0.158415841,0.237668161,0.341584158,0.244903953,0.579252319,1.573426573,5.777777778,2.6532,0.874125874
Luke Bard,14288,LAA,30.1,116,3.2637,19,2,0,12,11,4,7,0,3,23,0.18095238,0.25,0.314285714,0.245569626,0.564285714,1.196013289,3.285714286,3.2637,0.863787375
Amir Garrett,14375,CIN,30,132,4.8,25,6,0,17,16,5,18,1,1,36,0.221238938,0.333333333,0.407079646,0.317758702,0.740412979,1.5,2,4.8,1.433333333
Adam Conley,14457,MIA,35.2,164,6.8131,40,7,1,27,27,9,20,5,1,34,0.285714285,0.376543209,0.542857142,0.373096117,0.919400351,2.301136364,1.7,6.8131,1.704545455
Jose Leclerc,14524,TEX,36.1,153,2.9725,17,5,0,13,12,3,20,1,6,59,0.137096774,0.282894736,0.25,0.246087986,0.532894736,0.747922438,2.95,2.9725,1.024930748
Carlos Estevez,14542,COL,42.1,168,2.7638,35,9,0,17,13,7,9,0,1,57,0.221518987,0.267857142,0.411392405,0.285601994,0.679249547,1.496437055,6.333333333,2.7638,1.045130641
Jose Ruiz,14552,CHW,26,130,6.2308,39,6,0,20,18,6,16,0,2,20,0.361111111,0.4453125,0.583333333,0.428904234,1.028645833,2.076923077,1.25,6.2308,2.115384615
Luis Perdomo,14682,SDP,44,178,3.6818,38,6,0,18,18,3,11,1,2,38,0.233128834,0.289772727,0.325153374,0.26673475,0.614926101,0.613636364,3.454545455,3.6818,1.113636364
Edwin Diaz,14710,NYM,33.1,152,7.29,41,7,0,27,27,10,9,1,4,54,0.299270072,0.357615894,0.569343065,0.38121203,0.926958959,2.719033233,6,7.29,1.510574018
Ty Buttrey,14719,LAA,39,170,4.6154,41,5,0,22,20,5,10,0,3,41,0.262820512,0.317647058,0.391025641,0.304702468,0.708672699,1.153846154,4.1,4.6154,1.307692308
Wes Parsons,14764,2 Tms,21.2,97,4.5692,20,2,1,13,11,2,17,0,2,17,0.27027027,0.40625,0.405405405,0.35478087,0.811655405,0.849056604,1,4.5692,1.745283019
Julio Urias,14765,LAD,31.2,129,1.9895,24,1,0,8,7,2,9,1,2,28,0.20338983,0.271317829,0.262711864,0.236861539,0.534029693,0.576923077,3.111111111,1.9895,1.057692308
Emilio Pagan,14771,TBR,46.2,171,1.5429,30,4,2,8,8,6,3,0,0,63,0.178571428,0.192982456,0.333333333,0.218045138,0.526315789,1.168831169,21,1.5429,0.714285714
Buck Farmer,14814,DET,40.1,166,4.2397,35,7,1,22,19,7,13,1,4,48,0.239726027,0.315151515,0.445205479,0.318140004,0.760356994,1.571072319,3.692307692,4.2397,1.197007481
Michael Lorenzen,14843,CIN,47.2,197,2.2657,43,6,0,12,12,5,15,1,0,46,0.240223463,0.297435897,0.357541899,0.280872275,0.654977796,0.953389831,3.066666667,2.2657,1.228813559
Zack Godley,14862,2 Tms,25,107,5.76,22,4,1,16,16,4,11,0,3,17,0.239130434,0.339622641,0.434782608,0.332166023,0.774405249,1.44,1.545454545,5.76,1.32
Reyes Moronta,14966,SFG,36.2,155,3.4364,24,6,0,14,14,4,20,0,1,52,0.180451127,0.292207792,0.315789473,0.271154139,0.607997265,0.994475138,2.6,3.4364,1.215469613
Tyler Webb,14974,STL,26,106,4.1538,17,2,1,12,12,5,12,3,0,22,0.188888888,0.278846153,0.4,0.274248913,0.678846153,1.730769231,1.833333333,4.1538,1.115384615
Giovanny Gallegos,14986,STL,40.2,156,1.9918,27,4,1,9,9,5,8,0,2,50,0.186206896,0.237179487,0.331034482,0.242547847,0.568213969,1.119402985,6.25,1.9918,0.870646766
Scott Barlow,14993,KCR,44.1,188,3.8571,34,9,3,19,19,3,22,0,1,58,0.208588957,0.304812834,0.35582822,0.287614254,0.660641054,0.612244898,2.636363636,3.8571,1.26984127
Victor Alcantara,15028,DET,26.2,117,5.0625,31,5,0,15,15,7,10,0,1,19,0.295238095,0.362068965,0.542857142,0.377627351,0.904926107,2.404580153,1.9,5.0625,1.564885496
